SCHNAME,ADDRESS1,TOWN,PCODE,TELNUM,ADMPOL_PT,GEND1618,AGERANGE,TPUP1618,TALLPPE_ALEV_1618,TB3PTSE,YEAR,YEAR_SCORES,full_address,Latitude,Longitude
Forest School,College Place,London,E17 3PY,2085201744,,MIXED, 4-18,257.0,45.419999999999995,45.31999999999999,2023-2024,2021-2022: 47.66<br>2022-2023: 43.98<br>2023-2024: 44.32,"College Place, London, E17 3PY",51.585501000092,0.009110039104
Bristol Grammar School,University Road,Bristol,BS8 1SR,1179736006,,MIXED, 4-18,336.0,45.44,45.223333333333336,2023-2024,2021-2022: 47.40<br>2022-2023: 44.60<br>2023-2024: 43.67,"University Road, Bristol, BS8 1SR",51.457677482721,-2.604557234843
Sir William Borlase's Grammar School,West Street,Marlow,SL7 2BR,1628816500,SEL,MIXED, 11-18,448.0,45.39333333333334,45.223333333333336,2023-2024,2021-2022: 47.29<br>2022-2023: 44.68<br>2023-2024: 43.70,"West Street, Marlow, SL7 2BR",51.570011955486,-0.782063794686
Sir William Perkins's School,Guildford Road,,KT16 9BN,1932574900,,GIRLS, 11-19,117.0,45.6,45.22,2023-2024,2021-2022: 48.04<br>2022-2023: 43.79<br>2023-2024: 43.83,"Guildford Road, nan, KT16 9BN",51.386789000308,-0.511481333762
The Leys School,Trumpington Road,Cambridge,CB2 7AD,1223508900,,MIXED, 11-19,219.0,45.173333333333325,45.196666666666665,2023-2024,2021-2022: 43.44<br>2022-2023: 44.49<br>2023-2024: 47.66,"Trumpington Road, Cambridge, CB2 7AD",52.197009996603,0.1217941661
The Grammar School At Leeds,Alwoodley Gates,Leeds,LS17 8GS,1132291552,,MIXED, 3-19,403.0,45.07666666666666,45.18333333333333,2023-2024,2021-2022: 46.65<br>2022-2023: 44.58<br>2023-2024: 44.32,"Alwoodley Gates, Leeds, LS17 8GS",53.8649425953,-1.518539507649
Wallington High School for Girls,Woodcote Road,Wallington,SM6 0PH,2086472380,SEL,GIRLS, 11-18,500.0,45.26,45.17666666666667,2023-2024,2021-2022: 47.49<br>2022-2023: 43.11<br>2023-2024: 44.93,"Woodcote Road, Wallington, SM6 0PH",51.348390497577,-0.14813806846
Prior's Field School,Priors Field Road,Godalming,GU7 2RH,1483810551,,GIRLS, 11-20,52.0,43.336666666666666,45.16,2023-2024,2021-2022: 48.89<br>2022-2023: 44.62<br>2023-2024: 41.97,"Priors Field Road, Godalming, GU7 2RH",51.20842199797,-0.641983828081
Westcliff High School for Boys Academy,Kenilworth Gardens,Westcliff-on-Sea,SS0 0BP,1702475443,SEL,MIXED, 11-18,370.0,44.74,45.14333333333334,2023-2024,2021-2022: 47.15<br>2022-2023: 41.99<br>2023-2024: 46.29,"Kenilworth Gardens, Westcliff-on-Sea, SS0 0BP",51.553560212553,0.669608741597
Tormead School,Cranley Road,Guildford,GU1 2JD,1483575101,,GIRLS, 4-18,119.0,45.41,45.13333333333333,2023-2024,2021-2022: 46.60<br>2022-2023: 45.06<br>2023-2024: 43.74,"Cranley Road, Guildford, GU1 2JD",51.242683884335,-0.555047113707
Nonsuch High School for Girls,Ewell Road,Sutton,SM3 8AB,2083943400,SEL,GIRLS, 11-18,448.0,45.080000000000005,45.11000000000001,2023-2024,2021-2022: 48.13<br>2022-2023: 44.17<br>2023-2024: 43.03,"Ewell Road, Sutton, SM3 8AB",51.355476583906,-0.222526968085
The Queen's School,City Walls Road,Chester,CH1 2NN,1244312078,,GIRLS, 5-18,70.0,45.07333333333333,45.10666666666666,2023-2024,2021-2022: 48.13<br>2022-2023: 42.46<br>2023-2024: 44.73,"City Walls Road, Chester, CH1 2NN",53.190889869906,-2.897910798387
Beaconsfield High School,Wattleton Road,Beaconsfield,HP9 1RR,1494673043,SEL,GIRLS, 11-18,350.0,45.34,45.096666666666664,2023-2024,2021-2022: 47.85<br>2022-2023: 44.50<br>2023-2024: 42.94,"Wattleton Road, Beaconsfield, HP9 1RR",51.603174745852,-0.643395809756
Royal Masonic School for Girls,Rickmansworth Park,Rickmansworth,WD3 4HF,1923773168,,GIRLS, 2-18,190.0,44.416666666666664,45.09,2023-2024,2021-2022: 44.63<br>2022-2023: 44.63<br>2023-2024: 46.01,"Rickmansworth Park, Rickmansworth, WD3 4HF",51.648000703029,-0.473628994298
Clifton College,Guthrie Road,Bristol,BS8 3EZ,1173157000,,MIXED, 2-19,341.0,43.73,45.06333333333333,2023-2024,2021-2022: 46.35<br>2022-2023: 44.96<br>2023-2024: 43.88,"Guthrie Road, Bristol, BS8 3EZ",51.463018222607,-2.619505106675
St Benedict's School,54 Eaton Rise,,W5 2ES,2088622000,,MIXED, 3-18,191.0,45.01666666666667,45.06,2023-2024,2021-2022: 47.22<br>2022-2023: 42.89<br>2023-2024: 45.07,"54 Eaton Rise, nan, W5 2ES",51.520626410619,-0.306745218256
Chesham Grammar School,White Hill,Chesham,HP5 1BA,1494782854,SEL,MIXED, 11-18,402.0,44.96666666666667,45.03666666666667,2023-2024,2021-2022: 45.63<br>2022-2023: 43.82<br>2023-2024: 45.66,"White Hill, Chesham, HP5 1BA",51.708823480508,-0.600107303169
Tunbridge Wells Girls' Grammar School,Southfield Road,Tunbridge Wells,TN4 9UJ,1892520902,SEL,GIRLS, 11-18,278.0,45.04666666666666,45.02333333333333,2023-2024,2021-2022: 48.35<br>2022-2023: 42.26<br>2023-2024: 44.46,"Southfield Road, Tunbridge Wells, TN4 9UJ",51.144790505592,0.258275102944
King Edward VI Five Ways School,Scotland Lane,Birmingham,B32 4BT,1214753535,SEL,MIXED, 11-18,401.0,45.47,45.01666666666667,2023-2024,2021-2022: 46.00<br>2022-2023: 43.37<br>2023-2024: 45.68,"Scotland Lane, Birmingham, B32 4BT",52.432099498078,-1.999308793805
Claremont Fan Court School,Claremont Drive,,KT10 9LY,1372467841,,MIXED, 2-18,162.0,44.04999999999999,45.01333333333334,2023-2024,2021-2022: 47.21<br>2022-2023: 43.66<br>2023-2024: 44.17,"Claremont Drive, nan, KT10 9LY",51.358267185911,-0.370775498622
St Peter's School 2-18,Clifton,York,YO30 6AB,1904527300,,MIXED, 2-18,271.0,45.026666666666664,44.906666666666666,2023-2024,2021-2022: 48.55<br>2022-2023: 42.55<br>2023-2024: 43.62,"Clifton, York, YO30 6AB",53.966473510473,-1.091956249947
Cranleigh School,Horseshoe Lane,Cranleigh,GU6 8QQ,1483542131,,MIXED, 7-19,343.0,44.379999999999995,44.900000000000006,2023-2024,2021-2022: 46.15<br>2022-2023: 44.81<br>2023-2024: 43.74,"Horseshoe Lane, Cranleigh, GU6 8QQ",51.150389407366,-0.49350567185
Sir Thomas Rich's School,Oakleaze,Gloucester,GL2 0LF,1452338400,SEL,MIXED, 11-18,482.0,45.029999999999994,44.873333333333335,2023-2024,2021-2022: 46.29<br>2022-2023: 44.23<br>2023-2024: 44.10,"Oakleaze, Gloucester, GL2 0LF",51.872982383647,-2.20577292247
Loreto Grammar School,Dunham Road,Altrincham,WA14 4AH,1619283703,SEL,GIRLS, 11-18,241.0,44.910000000000004,44.873333333333335,2023-2024,2021-2022: 46.00<br>2022-2023: 42.53<br>2023-2024: 46.09,"Dunham Road, Altrincham, WA14 4AH",53.387629330285,-2.356998524349
Warwick School,Myton Road,Warwick,CV34 6PP,1926776400,,BOYS, 7-19,303.0,44.626666666666665,44.830000000000005,2023-2024,2021-2022: 47.81<br>2022-2023: 42.07<br>2023-2024: 44.61,"Myton Road, Warwick, CV34 6PP",52.279045723039,-1.578119276825
Farnborough Hill,Farnborough Road,Farnborough,GU14 8AT,1252545197,,GIRLS, 11-18,75.0,45.02333333333334,44.81666666666666,2023-2024,2021-2022: 47.90<br>2022-2023: 43.22<br>2023-2024: 43.33,"Farnborough Road, Farnborough, GU14 8AT",51.30106547999,-0.752683875871
Yavneh College,Hillside Avenue,Borehamwood,WD6 1HL,2087365580,OTHER NON SEL,MIXED, 11-18,245.0,44.79,44.779999999999994,2023-2024,2021-2022: 47.32<br>2022-2023: 44.47<br>2023-2024: 42.55,"Hillside Avenue, Borehamwood, WD6 1HL",51.654232158822,-0.268553386522
"The Royal Grammar School, High Wycombe",Amersham Road,High Wycombe,HP13 6QT,1494524955,SEL,BOYS, 11-18,414.0,44.69,44.77333333333333,2023-2024,2021-2022: 47.29<br>2022-2023: 44.51<br>2023-2024: 42.52,"Amersham Road, High Wycombe, HP13 6QT",51.640588117392,-0.737558666255
Haileybury College,,Hertford,SG13 7NU,1992706200,,MIXED, 11-18,365.0,44.56,44.76,2023-2024,2023-2024: 44.76,"nan, Hertford, SG13 7NU",51.779139098608,-0.03257467413
St Paul's School for Girls,Vernon Road,Birmingham,B16 9SL,1214540895,OTHER NON SEL,GIRLS, 11-18,192.0,44.056666666666665,44.75333333333333,2023-2024,2021-2022: 46.67<br>2022-2023: 42.87<br>2023-2024: 44.72,"Vernon Road, Birmingham, B16 9SL",52.475398817321,-1.941051213975
Sir John Deane's Sixth Form College,Monarch Drive,Northwich,CW9 8AF,1606810020,,MIXED, 16-19,1854.0,44.31,44.75,2023-2024,2023-2024: 44.75,"Monarch Drive, Northwich, CW9 8AF",53.248220348381,-2.516561151723
St Francis College,Broadway,Letchworth Garden City,SG6 3PJ,1462670511,,GIRLS, 3-18,69.0,44.406666666666666,44.75,2023-2024,2021-2022: 46.31<br>2022-2023: 41.67<br>2023-2024: 46.27,"Broadway, Letchworth Garden City, SG6 3PJ",51.971019506794,-0.232792058291
Solihull School,Warwick Road,Solihull,B91 3DJ,1217050958,,MIXED, 3-18,317.0,45.01333333333333,44.73333333333334,2023-2024,2021-2022: 46.63<br>2022-2023: 43.33<br>2023-2024: 44.24,"Warwick Road, Solihull, B91 3DJ",52.414078034386,-1.771142544357
Bishop's Stortford College,School House,Bishop's Stortford,CM23 2PQ,1279952706,,MIXED, 3-18,259.0,44.49666666666667,44.73333333333333,2023-2024,2021-2022: 47.65<br>2022-2023: 43.33<br>2023-2024: 43.22,"School House, Bishop's Stortford, CM23 2PQ",51.8723463,0.1552404
Sherfield School,Reading Road,Hampshire,RG27 0HU,1256884800,,MIXED, 0-19,94.0,40.769999999999996,44.675,2023-2024,2022-2023: 48.44<br>2023-2024: 40.91,"Reading Road, Hampshire, RG27 0HU",51.309658014825,-1.023978302732
Cardinal Hume Catholic School,Old Durham Road,Gateshead,NE9 6RZ,1914877638,OTHER NON SEL,MIXED, 11-18,232.0,41.58,44.67,2021-2022,2021-2022: 44.67,"Old Durham Road, Gateshead, NE9 6RZ",54.930557247685,-1.578808702332
Durham High School for Girls,Farewell Hall,,DH1 3TB,1913843226,,GIRLS, 3-18,50.0,44.6,44.656666666666666,2023-2024,2021-2022: 47.54<br>2022-2023: 40.00<br>2023-2024: 46.43,"Farewell Hall, nan, DH1 3TB",54.754445792527,-1.588099580998
Royal Latin School,Chandos Road,Buckingham,MK18 1AX,1280813065,SEL,MIXED, 11-18,445.0,44.75333333333333,44.550000000000004,2023-2024,2021-2022: 47.10<br>2022-2023: 42.56<br>2023-2024: 43.99,"Chandos Road, Buckingham, MK18 1AX",51.993487203491,-0.986138368485
Mossbourne Community Academy,100 Downs Park Road,London,E5 8JY,2085255200,OTHER NON SEL,MIXED, 11-18,378.0,44.77,44.54333333333333,2023-2024,2021-2022: 46.33<br>2022-2023: 44.38<br>2023-2024: 42.92,"100 Downs Park Road, London, E5 8JY",51.551487698011,-0.062683392345
King's High School,Banbury Road,Warwickshire,CV34 6YE,1926494485,,GIRLS, 10-18,203.0,44.343333333333334,44.5,2023-2024,2021-2022: 47.97<br>2022-2023: 43.48<br>2023-2024: 42.05,"Banbury Road, Warwickshire, CV34 6YE",52.262064687683,-1.571087461654
Concord College,Acton Burnell Hall,Shrewsbury,SY5 7PF,1694731631,,MIXED, 12-20,342.0,50.120000000000005,44.49666666666667,2023-2024,2021-2022: 44.02<br>2022-2023: 42.99<br>2023-2024: 46.48,"Acton Burnell Hall, Shrewsbury, SY5 7PF",52.613992706227,-2.687484334543
Hasmonean High School for Girls,2 - 4 Page Street,London,NW7 2EU,2082031411,,GIRLS, 11-18,163.0,44.21333333333333,44.49333333333333,2023-2024,2021-2022: 47.25<br>2022-2023: 42.83<br>2023-2024: 43.40,"2 - 4 Page Street, London, NW7 2EU",51.608003365533,-0.233360050272
Aylesbury Grammar School,Walton Road,Aylesbury,HP21 7RP,1296484545,SEL,BOYS, 11-18,404.0,44.56,44.48333333333333,2023-2024,2021-2022: 45.88<br>2022-2023: 43.91<br>2023-2024: 43.66,"Walton Road, Aylesbury, HP21 7RP",51.813984597947,-0.801471462846
JCoSS,Castlewood Road,New Barnet,EN4 9GE,2083442220,OTHER NON SEL,MIXED, 11-19,354.0,43.77333333333333,44.47666666666667,2023-2024,2021-2022: 44.67<br>2022-2023: 43.64<br>2023-2024: 45.12,"Castlewood Road, New Barnet, EN4 9GE",51.656412194323,-0.171792302361
The King's School In Macclesfield,Alderley Road,Macclesfield,SK10 4SP,1625260000,,MIXED, 3-19,185.0,43.69333333333333,44.44333333333333,2023-2024,2021-2022: 45.46<br>2022-2023: 43.58<br>2023-2024: 44.29,"Alderley Road, Macclesfield, SK10 4SP",53.278280619196,-2.164191390464
Tauheedul Islam Girls' High School,Preston New Road,Blackburn,BB2 7AD,125454021,OTHER NON SEL,GIRLS, 11-18,235.0,43.333333333333336,44.43333333333334,2023-2024,2021-2022: 46.02<br>2022-2023: 42.73<br>2023-2024: 44.55,"Preston New Road, Blackburn, BB2 7AD",53.758140629703,-2.513153600849
Menorah High School for Girls,105 Brook Road,London,NW2 7BZ,2082080500,,GIRLS, 11-18,84.0,44.68333333333334,44.423333333333325,2023-2024,2021-2022: 46.46<br>2022-2023: 43.95<br>2023-2024: 42.86,"105 Brook Road, London, NW2 7BZ",51.562476917898,-0.238740071766
Rugby School,The Bursary,Rugby,CV21 3AW,1788556216,,MIXED, 13-18,413.0,45.48666666666666,44.38666666666666,2023-2024,2021-2022: 45.62<br>2022-2023: 43.22<br>2023-2024: 44.32,"The Bursary, Rugby, CV21 3AW",52.3709,-1.2618
Bradford Grammar School,Keighley Road,,BD9 4JP,1274542492,,MIXED, 4-19,221.0,44.43000000000001,44.383333333333326,2023-2024,2021-2022: 49.45<br>2022-2023: 43.62<br>2023-2024: 40.08,"Keighley Road, nan, BD9 4JP",53.814545815724,-1.769807590996
Blundell's School,Blundell's Road,Tiverton,EX16 4DN,1884252543,,MIXED, 11-18,201.0,43.78666666666667,44.36333333333334,2023-2024,2021-2022: 44.39<br>2022-2023: 45.81<br>2023-2024: 42.89,"Blundell's Road, Tiverton, EX16 4DN",50.906383698297,-3.467367786666
Wycombe High School,Marlow Road,High Wycombe,HP11 1TB,1494523961,SEL,GIRLS, 11-18,382.0,44.306666666666665,44.36333333333334,2023-2024,2021-2022: 47.07<br>2022-2023: 43.78<br>2023-2024: 42.24,"Marlow Road, High Wycombe, HP11 1TB",51.618299578437,-0.764648036099
Hills Road Sixth Form College,Hills Road,Cambridge,CB2 8PE,1223247251,,MIXED, 16-19,2793.0,44.61666666666667,44.36333333333334,2023-2024,2021-2022: 46.67<br>2022-2023: 43.34<br>2023-2024: 43.08,"Hills Road, Cambridge, CB2 8PE",52.188088801777,0.136643755313
Dame Allan's Senior School,Fowberry Crescent,Newcastle-upon-Tyne,NE4 9YJ,1912751500,,MIXED, 3-19,218,44.295,44.290000000000006,2022-2023,2021-2022: 45.63<br>2022-2023: 42.95,"Fowberry Crescent, Newcastle-upon-Tyne, NE4 9YJ",54.982814178795,-1.652771269316
The London Oratory School,Seagrave Road,London,SW6 1RX,2073850102,OTHER NON SEL,MIXED, 7-18,398.0,43.97666666666667,44.26333333333334,2023-2024,2021-2022: 46.79<br>2022-2023: 42.30<br>2023-2024: 43.70,"Seagrave Road, London, SW6 1RX",51.486093556972,-0.196405390691
Yarm School,The Friarage,Yarm,TS15 9EJ,1642786023,,MIXED, 11-18,221.0,44.22,44.19,2023-2024,2021-2022: 46.52<br>2022-2023: 44.48<br>2023-2024: 41.57,"The Friarage, Yarm, TS15 9EJ",54.506361197916,-1.352230813984
The Stephen Perse Foundation,Union Road,,CB2 1HF,1223454700,,MIXED, 2-21,218.0,43.98666666666667,44.166666666666664,2023-2024,2021-2022: 45.86<br>2022-2023: 43.50<br>2023-2024: 43.14,"Union Road, nan, CB2 1HF",52.196876305247,0.125226639269
Oneschool Global Dunstable,Ridgeway Avenue,Dunstable,LU5 4QL,1582665676,,MIXED, 7-18,52,40.54,44.1,2022-2023,2021-2022: 44.10,"Ridgeway Avenue, Dunstable, LU5 4QL",51.891273029031,-0.504720559721
Queen Elizabeth's Hospital,Berkeley Place,Bristol,BS8 1JX,1179303040,,MIXED, 7-18,223.0,44.06333333333333,44.09,2023-2024,2021-2022: 46.69<br>2022-2023: 41.59<br>2023-2024: 43.99,"Berkeley Place, Bristol, BS8 1JX",51.455056879779,-2.609669450348
Bishop Wordsworth's Church of England Grammar School,Exeter Street,Salisbury,SP1 2ED,1722333851,SEL,MIXED, 11-18,392.0,44.19333333333333,44.07333333333333,2023-2024,2021-2022: 46.00<br>2022-2023: 43.26<br>2023-2024: 42.96,"Exeter Street, Salisbury, SP1 2ED",51.065791110073,-1.794723468737
Loughborough High School,Burton Walks,,LE11 2DU,1509212348,,GIRLS, 11-18,144.0,44.45333333333334,44.04666666666666,2023-2024,2021-2022: 46.32<br>2022-2023: 42.69<br>2023-2024: 43.13,"Burton Walks, nan, LE11 2DU",52.765210705234,-1.203058334628
St Catherine's School,Station Road,Guildford,GU5 0DF,1483893363,,GIRLS, 3-18,182.0,45.05833333333333,44.035,2023-2024,2021-2022: 43.79<br>2021-2022: 48.53<br>2022-2023: 41.39<br>2022-2023: 42.85<br>2023-2024: 41.85<br>2023-2024: 45.80,"Station Road, Guildford, GU5 0DF",51.195261590487,-0.557793971354
Woodhouse College,Woodhouse Road,London,N12 9EY,2084451210,,MIXED, 16-19,1497.0,44.22,44.00333333333333,2023-2024,2021-2022: 46.18<br>2022-2023: 42.22<br>2023-2024: 43.61,"Woodhouse Road, London, N12 9EY",51.611277426996,-0.170283574424
The King Alfred School,149 North End Road,London,NW11 7HY,2084575200,,MIXED, 5-18,129.0,43.85,43.99333333333334,2023-2024,2021-2022: 45.59<br>2022-2023: 42.58<br>2023-2024: 43.81,"149 North End Road, London, NW11 7HY",51.569523080983,-0.185287669387
Twyford Church of England High School,Twyford Crescent,London,W3 9PP,2087520141,OTHER NON SEL,MIXED, 11-18,638.0,44.10666666666666,43.98333333333333,2023-2024,2021-2022: 45.86<br>2022-2023: 42.58<br>2023-2024: 43.51,"Twyford Crescent, London, W3 9PP",51.508955856928,-0.280809431194
Lingfield College,Racecourse Road,Lingfield,RH7 6PH,1342832407,,MIXED, 0-19,149.0,42.663333333333334,43.94,2023-2024,2021-2022: 47.30<br>2022-2023: 39.84<br>2023-2024: 44.68,"Racecourse Road, Lingfield, RH7 6PH",51.170715405815,-0.003649338289
Woldingham School,Marden Park,Caterham,CR3 7YA,1883349431,,GIRLS, 10-19,156.0,43.76,43.86666666666667,2023-2024,2021-2022: 45.84<br>2022-2023: 41.73<br>2023-2024: 44.03,"Marden Park, Caterham, CR3 7YA",51.27632289253,-0.051737967903
The King's School Canterbury,25 The Precincts,Canterbury,CT1 2ES,1227595501,,MIXED, 13-18,381.0,44.846666666666664,43.86666666666667,2023-2024,2021-2022: 44.25<br>2022-2023: 43.45<br>2023-2024: 43.90,"25 The Precincts, Canterbury, CT1 2ES",51.281160507948,1.084061209617
Cheltenham College,Bath Road,Cheltenham,GL53 7LD,1242265600,,MIXED, 2-19,317.0,42.99333333333334,43.84666666666667,2023-2024,2021-2022: 44.73<br>2022-2023: 44.42<br>2023-2024: 42.39,"Bath Road, Cheltenham, GL53 7LD",51.892488262318,-2.076516986026
Moreton Hall School,Weston Rhyn,Oswestry,SY11 3EW,1691773671,,GIRLS, 1-18,98.0,43.199999999999996,43.846666666666664,2023-2024,2021-2022: 46.24<br>2022-2023: 43.11<br>2023-2024: 42.19,"Weston Rhyn, Oswestry, SY11 3EW",52.914008010604,-3.04863740832
Queen's Gate School,133 Queen's Gate,London,SW7 5LE,2075893587,,GIRLS, 4-18,115.0,43.693333333333335,43.82,2023-2024,2021-2022: 44.91<br>2022-2023: 40.77<br>2023-2024: 45.78,"133 Queen's Gate, London, SW7 5LE",51.49487577914,-0.178545182654
The St Marylebone CofE School,64 Marylebone High Street,London,W1U 5BA,2079354704,OTHER NON SEL,MIXED, 11-18,346.0,43.81,43.803333333333335,2023-2024,2021-2022: 45.76<br>2022-2023: 43.38<br>2023-2024: 42.27,"64 Marylebone High Street, London, W1U 5BA",51.521278650119,-0.152035997321
The Camden School for Girls,Sandall Road,London,NW5 2DB,2074853414,OTHER NON SEL,MIXED, 11-18,473.0,44.65,43.800000000000004,2023-2024,2021-2022: 45.36<br>2022-2023: 43.57<br>2023-2024: 42.47,"Sandall Road, London, NW5 2DB",51.545987996061,-0.134693076897
Sandringham School,The Ridgeway,St Albans,AL4 9NX,1727799560,OTHER NON SEL,MIXED, 11-18,561.0,44.02333333333333,43.79,2023-2024,2021-2022: 45.87<br>2022-2023: 42.74<br>2023-2024: 42.76,"The Ridgeway, St Albans, AL4 9NX",51.770763020856,-0.307830590898
Gresham's School,Cromer Road,,NR25 6EA,1263714500,,MIXED, 2-18,233.0,43.42666666666667,43.78333333333333,2023-2024,2021-2022: 44.12<br>2022-2023: 42.96<br>2023-2024: 44.27,"Cromer Road, nan, NR25 6EA",52.910254217177,1.103853229947
Derby High School,Hillsway,Derby,DE23 3DT,1332514267,,MIXED, 3-18,96.0,43.87,43.72,2023-2024,2021-2022: 43.71<br>2022-2023: 44.41<br>2023-2024: 43.04,"Hillsway, Derby, DE23 3DT",52.904599793541,-1.515036426977
Ripon Grammar School,Clotherholme Road,Ripon,HG4 2DG,1765602647,SEL,MIXED, 11-18,298.0,43.86333333333334,43.64666666666667,2023-2024,2021-2022: 45.71<br>2022-2023: 44.70<br>2023-2024: 40.53,"Clotherholme Road, Ripon, HG4 2DG",54.139158317884,-1.539106602566
Bromsgrove School,Worcester Road,Bromsgrove,B61 7DU,1527579679,,MIXED, 2-18,456.0,42.596666666666664,43.63666666666666,2023-2024,2021-2022: 44.10<br>2022-2023: 41.52<br>2023-2024: 45.29,"Worcester Road, Bromsgrove, B61 7DU",52.330556303417,-2.064757711284
Sherborne School for Girls,Bradford Road,Sherborne,DT9 3QN,1935812245,,GIRLS, 11-18,190.0,44.17666666666667,43.63666666666666,2023-2024,2021-2022: 46.62<br>2022-2023: 42.04<br>2023-2024: 42.25,"Bradford Road, Sherborne, DT9 3QN",50.948580587725,-2.52688891372
Bedford School,De Parys Avenue,Bedford,MK40 2TU,1234362200,,BOYS, 7-19,279.0,43.50333333333333,43.57333333333333,2023-2024,2021-2022: 45.12<br>2022-2023: 42.10<br>2023-2024: 43.50,"De Parys Avenue, Bedford, MK40 2TU",52.141466979935,-0.46348823256
The Cardinal Vaughan Memorial RC School,89 Addison Road,London,W14 8BZ,2076038478,OTHER NON SEL,MIXED, 11-18,391.0,43.06,43.56333333333333,2023-2024,2021-2022: 46.36<br>2022-2023: 41.22<br>2023-2024: 43.11,"89 Addison Road, London, W14 8BZ",51.504683624358,-0.212186969352
Charterhouse,,Godalming,GU7 2DX,1483291500,,MIXED, 12-19,397.0,45.75333333333334,43.54,2023-2024,2021-2022: 44.32<br>2022-2023: 44.60<br>2023-2024: 41.70,"nan, Godalming, GU7 2DX",51.196679096295,-0.621537398836
New Hall School,The Avenue,Chelmsford,CM3 3HS,1245467588,,MIXED, 1-19,224.0,42.923333333333325,43.51,2023-2024,2021-2022: 45.92<br>2022-2023: 40.68<br>2023-2024: 43.93,"The Avenue, Chelmsford, CM3 3HS",51.762766087399,0.512500184364
Sherborne School,Abbey Road,Sherborne,DT9 3AP,1935812249,,BOYS, 13-18,299.0,43.843333333333334,43.50333333333333,2023-2024,2021-2022: 44.66<br>2022-2023: 42.27<br>2023-2024: 43.58,"Abbey Road, Sherborne, DT9 3AP",50.947183198737,-2.517620540465
Hill House School,SIXTH AVENUE,SOUTH YORKSHIRE,DN9 3GG,1302776300,,MIXED, 3-18,126.0,43.07333333333333,43.48666666666667,2023-2024,2021-2022: 44.19<br>2022-2023: 42.03<br>2023-2024: 44.24,"SIXTH AVENUE, SOUTH YORKSHIRE, DN9 3GG",53.486721597431,-1.01572298203
Wolgarston High School,Cannock Road,Stafford,ST19 5RX,1785788400,OTHER NON SEL,MIXED, 13-18,181.0,40.580000000000005,43.48666666666666,2023-2024,2021-2022: 44.02<br>2022-2023: 44.33<br>2023-2024: 42.11,"Cannock Road, Stafford, ST19 5RX",52.723080787213,-2.099142541224
King's Ely,Barton Road,Ely,CB7 4DB,1353660700,,MIXED, 2-19,224.0,42.56666666666667,43.46,2023-2024,2021-2022: 43.41<br>2022-2023: 43.80<br>2023-2024: 43.17,"Barton Road, Ely, CB7 4DB",52.395980389507,0.261093014973
